PROD TYPE,NAME,SHIPPED_DATE,Total Orders,Total Pallets,Distance,Cost
AMBCONTROL,ALLOGA UK,14-05-2024,1,15,12.2,239
AMBIENT,TESCO GROCERY DIST'N CENTRE (R,14-05-2024,2,3,239.5,152.2
AMBIENT,BOOTS COMPANY PLC (SSC),14-05-2024,2,2,29.8,59.4
AMBIENT,SAVERS,14-05-2024,1,1,203.7,47.8
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,14-05-2024,1,2,208.6,89.3
AMBIENT,AMAZON EU S.A.R.L,14-05-2024,1,1,185.1,46.6
AMBCONTROL,JULIE WAKEFIELD,14-05-2024,1,1,69.2,32.1
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),14-05-2024,1,1,303.4,84
AMBCONTROL,AAH PHARMA (GLASGOW),14-05-2024,1,1,451.8,98.2
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,14-05-2024,1,2,188,91.2
AMBCONTROL,AAH PHARMA (PERRY BARR),14-05-2024,1,6,97.6,159.8
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,14-05-2024,1,1,384.3,86.6
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,14-05-2024,1,1,268.8,64
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,14-05-2024,2,2,268.6,130.4
AMBCONTROL,AMAZON DEESIDE XLP1,15-05-2024,3,7,144.3,293.9
AMBIENT,SUPERDRUG STORES PLC WEBSITE,15-05-2024,1,7,74.3,142.1
AMBCONTROL,ALLOGA UK,15-05-2024,1,26,12.2,327.8
AMBCONTROL,ALLOGA UK LTD - AP 3,15-05-2024,1,26,1.6,324.3
AMBIENT,BOOTS COMPANY PLC (SSC),15-05-2024,2,2,29.8,59.4
AMBCONTROL,BOOTS COMPANY PLC (SSC),15-05-2024,5,18,29.8,349.8
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,15-05-2024,1,1,51,31.2
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,15-05-2024,1,6,133.2,185.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),15-05-2024,2,37,107.4,861.8
AMBIENT,AMAZON DEESIDE XLP1,15-05-2024,1,1,144.3,46.5
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,15-05-2024,1,1,318.6,77.6
AMBCONTROL,AAH PHARMA (BRISTOL),15-05-2024,1,2,254.4,110.9
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,15-05-2024,1,16,239.5,759.6
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,15-05-2024,1,8,222.9,342.3
AMBCONTROL,AAH PHARMA (RUISLIP),15-05-2024,1,3,232.1,134.9
AMBCONTROL,AAH PHARMA (WARRINGTON),15-05-2024,1,3,113.6,110.6
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),15-05-2024,1,1,267.8,65.2
AMBCONTROL,BESTWAY PHARMACY NDC LTD,16-05-2024,1,4,69.1,98
AMBCONTROL,ALLOGA UK LTD - AP 3,16-05-2024,3,6,1.6,137.6
AMBIENT,ALLOGA UK LTD - AP 3,16-05-2024,2,3,1.6,71.9
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,16-05-2024,1,9,29.8,150
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,16-05-2024,1,3,185.1,106.9
AMBCONTROL,ALLOGA UK,16-05-2024,1,26,12.2,327.8
AMBIENT,COSTCO WHOLESALE UK LTD,16-05-2024,1,2,234.4,86.3
AMBCONTROL,INSPIRA TRADING LIMITED,16-05-2024,2,3,182.1,144.8
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,16-05-2024,2,2,124.8,81.4
AMBCONTROL,ASDA,16-05-2024,2,4,93.7,106.4
AMBIENT,ASDA,16-05-2024,1,5,93.7,98.7
AMBCONTROL,AMAZON FRESH MILTON KEYNES ALT,16-05-2024,1,1,159,47.6
AMBCONTROL,CO-OP GRP LTD - NDC COVENTRY,16-05-2024,1,11,97.7,285.1
AMBCONTROL,AAH PHARMA (SWANSEA VALE),16-05-2024,1,1,297.2,84
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),16-05-2024,1,18,107.4,456.2
AMBIENT,BOOTS COMPANY PLC (SSC),16-05-2024,3,3,29.8,89.1
AMBCONTROL,BOOTS COMPANY PLC (SSC),16-05-2024,2,4,29.8,92.4
AMBCONTROL,SAINSBURY'S SUPERMARKET LTD,16-05-2024,1,1,248.9,58.2
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,16-05-2024,1,20,133.2,580.2
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),16-05-2024,1,1,240.7,57.6
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),16-05-2024,1,1,99.1,39.8
AMBCONTROL,OCADO LTD (CFC ERITH),16-05-2024,1,1,268.2,66.1
AMBCONTROL,OCADO LUTON,16-05-2024,1,1,187.9,51.2
AMBCONTROL,POUNDLAND DC,17-05-2024,1,5,123.3,182.2
AMBIENT,B & M RETAIL LTD,17-05-2024,1,2,160.1,70.7
AMBIENT,T J MORRIS LTD (SOLSTICE BUS.,17-05-2024,1,6,275.3,297.2
AMBIENT,BOOTS COMPANY PLC (SSC),17-05-2024,7,12,29.8,272.8
AMBCONTROL,WAITROSE LTD (134244),17-05-2024,1,5,168.3,173.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),17-05-2024,8,12,29.8,310.4
AMBCONTROL,TONY HUNT,17-05-2024,1,1,28,31.4
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),17-05-2024,1,18,107.4,456.2
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,17-05-2024,1,12,222.9,505.5
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,17-05-2024,1,7,73.6,159.4
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),17-05-2024,1,1,82.5,34.7
AMBCONTROL,OCADO CFC2,17-05-2024,1,1,77.4,40.1
AMBCONTROL,OCADO BICESTER,17-05-2024,1,1,171.8,51.2
AMBCONTROL,PURFLEET CFC OCADO,17-05-2024,1,1,266.3,63
AMBCONTROL,OCADO LTD (CFC ANDOVER),17-05-2024,1,1,267,70.6
AMBCONTROL,OCADO CFC BRISTOL,17-05-2024,1,1,253.8,63.5
AMBIENT,ANDREW ALLEN,17-05-2024,1,2,257.3,90.2
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,18-05-2024,2,9,58.3,235.9
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,18-05-2024,1,3,440.3,262.8
AMBCONTROL,AAH PHARMA (SOUTHAMPTON),19-05-2024,1,1,308.1,69.8
AMBIENT,ALLOGA UK LTD - AP 3,20-05-2024,2,25,1.6,354.3
AMBCONTROL,ALLOGA UK,20-05-2024,1,26,12.2,327.8
AMBCONTROL,BESTWAY PHARMACY NDC LTD,20-05-2024,1,10,69.1,221
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,20-05-2024,1,2,90.8,64
AMBIENT,COSTCO WHOLESALE UK LTD,20-05-2024,1,2,234.4,86.3
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,20-05-2024,1,12,74.3,264.9
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,20-05-2024,2,4,219.2,181.7
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,20-05-2024,3,13,91.3,317.8
AMBCONTROL,SAMPLE  - PERRIGO ONE EMBASSY,20-05-2024,1,1,253.5,59
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),20-05-2024,1,2,142.1,86.7
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,20-05-2024,1,2,444.3,170.2
AMBCONTROL,B & M RETAIL LTD,20-05-2024,1,4,130.9,156.7
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,20-05-2024,1,19,133.2,552
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),20-05-2024,1,18,107.4,456.2
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,20-05-2024,1,11,239.5,527.2
AMBCONTROL,UNITED DRUG DISTRIBUTORS IRELA,20-05-2024,1,22,414,3425.5
AMBCONTROL,ASDA,20-05-2024,2,6,93.7,143.5
AMBIENT,ASDA,20-05-2024,1,1,93.7,33.1
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,20-05-2024,1,13,78.9,282.3
AMBIENT,B & M RETAIL LTD,21-05-2024,1,2,130.9,78.4
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),21-05-2024,1,2,252.9,109.9
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,21-05-2024,1,4,185.1,156.4
AMBCONTROL,ALLOGA UK LTD - AP 3,21-05-2024,1,26,1.6,324.3
AMBCONTROL,ALLOGA UK,21-05-2024,1,17,12.2,268.6
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,21-05-2024,2,5,58.3,145.4
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,21-05-2024,1,3,262.2,158.2
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,21-05-2024,1,1,124.8,40.7
AMBCONTROL,BOOTS COMPANY PLC (SSC),21-05-2024,5,7,29.8,186.6
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),21-05-2024,2,40,107.4,984.5
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,21-05-2024,1,2,74.3,57.6
AMBIENT,BOOTS COMPANY PLC (SSC),21-05-2024,4,6,29.8,144.7
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,21-05-2024,1,4,90.8,111.9
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,21-05-2024,1,1,188,53.6
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,21-05-2024,1,3,268.8,159.9
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),21-05-2024,1,1,303.4,84
AMBCONTROL,AAH PHARMA (GLASGOW),21-05-2024,1,2,451.8,180.5
AMBCONTROL,AAH PHARMA (PERRY BARR),21-05-2024,1,3,97.6,87.9
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,21-05-2024,1,2,185.1,86.2
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,21-05-2024,1,8,222.9,342.3
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,21-05-2024,1,3,208.6,126
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,21-05-2024,1,1,384.3,86.6
AMBCONTROL,UNITED DRUG DISTRIBUTORS IRELA,21-05-2024,1,1,414,155.7
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,22-05-2024,1,13,141.3,473.5
AMBCONTROL,ALLOGA UK,22-05-2024,1,26,12.2,327.8
AMBCONTROL,TESCO (BOLTON 510),22-05-2024,1,9,117.8,288.6
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,22-05-2024,1,1,1.6,31.2
AMBCONTROL,B & M RETAIL LTD,22-05-2024,1,2,160.1,79.1
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,22-05-2024,1,13,74.3,285.6
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,22-05-2024,2,5,185.1,183.6
AMBIENT,BOOTS COMPANY PLC (SSC),22-05-2024,5,7,29.8,174.5
AMBCONTROL,BOOTS COMPANY PLC (SSC),22-05-2024,8,10,29.8,280.8
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,22-05-2024,2,30,133.2,819.9
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,22-05-2024,1,7,185.1,261.7
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,22-05-2024,1,3,185.1,106.9
AMBCONTROL,AAH PHARMA (SOUTHAMPTON),22-05-2024,1,1,308.1,69.8
AMBCONTROL,SAVERS,22-05-2024,1,1,203.7,53.7
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),22-05-2024,1,19,107.4,480.7
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),22-05-2024,1,1,267.8,65.2
AMBCONTROL,ALLOGA UK LTD - AP 3,22-05-2024,1,1,1.6,31.2
AMBCONTROL,BESTWAY PHARMACY NDC LTD,22-05-2024,1,3,69.1,77.6
AMBIENT,SAVERS,22-05-2024,1,2,203.7,79.2
AMBIENT,SAMPLE (NON MEDICAL) SAM SAADE,22-05-2024,1,1,241.9,54
AMBIENT,SAMPLE (NON MEDICAL)YASMIN THO,22-05-2024,1,1,251.9,57
AMBCONTROL,ALLOGA UK,23-05-2024,1,26,12.2,327.8
AMBCONTROL,AAH PHARMA (WARRINGTON),23-05-2024,2,15,113.6,505.2
AMBIENT,BOOTS COMPANY PLC (SSC),23-05-2024,6,17,29.8,321
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,23-05-2024,2,2,124.8,81.4
AMBCONTROL,"AMAZON IBA9 (KNOTTINGLEY, UK)",23-05-2024,2,12,89.3,281
AMBCONTROL,AMAZON DEESIDE XLP1,23-05-2024,1,2,144.3,86.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),23-05-2024,6,6,29.8,188.4
AMBCONTROL,ASDA,23-05-2024,2,9,93.7,199.1
AMBIENT,ASDA,23-05-2024,1,1,93.7,33.1
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,23-05-2024,2,11,91.3,260.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),23-05-2024,1,20,107.4,505.2
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,23-05-2024,1,14,73.6,302.9
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,23-05-2024,1,18,239.5,852.6
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,23-05-2024,1,3,90.8,87.9
AMBIENT,SAVERS HEALTH & BEAUTY - DUNST,23-05-2024,1,7,185.1,227.6
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,23-05-2024,2,2,268.6,130.4
AMBIENT,SAMPLE (NON MEDICAL) VIENNA BU,23-05-2024,1,1,279.3,52
AMBIENT,SAMPLE (NON MEDICAL) LUKE FURN,23-05-2024,1,1,78.4,34.8
AMBCONTROL,PURFLEET CFC OCADO,23-05-2024,1,1,266.3,63
AMBCONTROL,POUNDLAND DC,24-05-2024,1,1,227.3,63.4
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,24-05-2024,1,7,275.3,398.5
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,24-05-2024,1,6,29.8,105.5
AMBCONTROL,B & M RETAIL LTD,24-05-2024,1,2,160.1,79.1
AMBCONTROL,PHOENIX HEALTHCARE DIST LTD,24-05-2024,3,12,119.6,426.4
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),24-05-2024,1,1,99.1,39.8
AMBCONTROL,BESTWAY PHARMACY NDC LTD,24-05-2024,1,2,69.1,57.1
AMBCONTROL,PRIMA BRANDS LTD,24-05-2024,3,6,533.4,934.2
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),24-05-2024,1,1,82.5,34.7
AMBCONTROL,WAITROSE LTD (134244),24-05-2024,1,4,168.3,142.1
AMBCONTROL,BOOTS COMPANY PLC (SSC),24-05-2024,1,1,29.8,31.4
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),24-05-2024,1,1,240.7,57.6
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,24-05-2024,2,5,185.1,207.6
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),24-05-2024,2,43,107.4,1008.6
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,24-05-2024,1,1,208.6,52.7
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,24-05-2024,1,11,239.5,527.2
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),24-05-2024,1,1,142.1,51.4
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,24-05-2024,1,4,222.9,179.1
AMBCONTROL,OCADO LTD (CFC ERITH),24-05-2024,1,1,268.2,66.1
AMBCONTROL,OCADO CFC2,24-05-2024,1,1,77.4,40.1
AMBIENT,CONNIE FONG,24-05-2024,1,1,243,52.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),26-05-2024,1,20,107.4,505.2
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,26-05-2024,1,1,133.2,44.3
AMBCONTROL,ALLOGA UK,27-05-2024,3,47,12.2,672.4
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,27-05-2024,2,12,58.3,303.8
AMBIENT,ALLOGA UK LTD - AP 3,27-05-2024,1,25,1.6,286.1
AMBCONTROL,INSPIRA TRADING LIMITED,27-05-2024,2,3,182.1,144.8
AMBCONTROL,SIGMA PHARMACEUTICALS PLC,27-05-2024,3,11,219.2,459.5
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,27-05-2024,1,1,262.2,63.4
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,27-05-2024,1,2,444.3,170.2
AMBCONTROL,BOOTS COMPANY PLC (SSC),27-05-2024,4,11,29.8,229.3
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,27-05-2024,1,15,133.2,439
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),27-05-2024,2,42,107.4,1008.8
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,27-05-2024,1,19,239.5,899
AMBIENT,BOOTS COMPANY PLC (SSC),27-05-2024,4,5,29.8,131.8
AMBCONTROL,PHOENIX HEALTHCARE (ST ALBANS),27-05-2024,1,1,215.2,52.6
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,27-05-2024,1,3,440.3,262.8
AMBIENT,ALLOGA UK LTD - AP 3,28-05-2024,2,35,1.6,482.9
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,28-05-2024,1,2,51,45.9
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,28-05-2024,1,1,318.6,77.6
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,28-05-2024,1,7,185.1,261.7
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,28-05-2024,1,7,74.3,161.2
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),28-05-2024,1,19,107.4,480.7
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,28-05-2024,1,1,208.6,52.7
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,28-05-2024,1,1,188,53.6
AMBCONTROL,ALLIANCE HEALTHCARE (SWANSEA),28-05-2024,1,1,303.4,84
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,28-05-2024,1,12,222.9,505.5
AMBCONTROL,PRIMA BRANDS LTD,28-05-2024,1,5,533.4,778.5
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,28-05-2024,1,1,384.3,86.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),28-05-2024,4,5,29.8,140.4
AMBIENT,RAYBURN TRADING LTD,29-05-2024,1,2,95.9,62.1
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,29-05-2024,1,10,141.3,367.9
AMBCONTROL,ALLIANCE HEALTHCARE (DISTN) LT,29-05-2024,1,1,1.6,31.2
AMBCONTROL,AAH PHARMA (PERRY BARR),29-05-2024,1,3,97.6,87.9
AMBCONTROL,AAH PHARMA (GLASGOW),29-05-2024,1,1,451.8,98.2
AMBIENT,AMAZON.CO.UK LTD (BHX3 DAVENTR,29-05-2024,1,1,124.8,40.7
AMBCONTROL,ALLIANCE HEALTHCARE (NEWCASTLE,29-05-2024,1,1,268.8,64
AMBCONTROL,BOOTS COMPANY PLC (SSC),29-05-2024,3,4,29.8,109
AMBIENT,SUPERDRUG STORES PLC WEBSITE,29-05-2024,1,2,74.3,52.3
AMBCONTROL,AAH PHARMA (BRISTOL),29-05-2024,1,1,254.4,63.5
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,29-05-2024,2,23,73.6,503.3
AMBCONTROL,ALLIANCE HEALTHCARE (CROYDON),29-05-2024,1,1,267.8,65.2
AMBIENT,BOOTS COMPANY PLC (SSC),29-05-2024,4,6,29.8,144.7
AMBCONTROL,PRIMA BRANDS LTD,29-05-2024,1,3,533.4,467.1
AMBCONTROL,AAH PHARMA (RUISLIP),29-05-2024,1,2,232.1,95.3
AMBCONTROL,AAH PHARMA (SWANSEA VALE),29-05-2024,1,1,297.2,84
AMBCONTROL,ALLOGA UK,30-05-2024,1,18,12.2,283.5
AMBIENT,ALLOGA UK,30-05-2024,1,4,12.2,68.6
AMBCONTROL,BESTWAY PHARMACY NDC LTD,30-05-2024,3,8,69.1,212.2
AMBCONTROL,TESCO (BOLTON 510),30-05-2024,1,9,117.8,288.6
AMBIENT,"AMAZON IBA9 (KNOTTINGLEY, UK)",30-05-2024,1,1,89.3,34.3
AMBCONTROL,AMAZON TORONTO WAY DON LBA4,30-05-2024,1,1,58.3,38.8
AMBIENT,SUPERDRUG STORES PLC (DUNSTABL,30-05-2024,1,1,185.1,46.6
AMBCONTROL,INSPIRA TRADING LIMITED,30-05-2024,2,4,182.1,182.4
AMBCONTROL,ASDA,30-05-2024,3,21,93.7,437.7
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,30-05-2024,3,13,91.3,317.8
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,30-05-2024,1,3,29.8,61
AMBCONTROL,ALLIANCE HEALTHCARE (LEEDS),30-05-2024,1,1,99.1,39.8
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,30-05-2024,1,3,90.8,87.9
AMBCONTROL,B & M RETAIL LTD,30-05-2024,1,1,160.1,47.6
AMBCONTROL,BOOTS COMPANY PLC (SSC),30-05-2024,5,8,29.8,201.4
AMBIENT,BOOTS COMPANY PLC (SSC),30-05-2024,2,3,29.8,72.4
AMBCONTROL,PHOENIX HEALTHCARE (NORWICH),30-05-2024,1,1,240.7,57.6
AMBCONTROL,AAH PHARMA (WARRINGTON),30-05-2024,1,2,113.6,79.1
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,30-05-2024,1,4,239.5,201.8
AMBCONTROL,TESCO (MIDDLESBOROUGH NON FOOD,30-05-2024,1,1,208.6,52.7
AMBCONTROL,OCADO LTD (CFC ANDOVER),30-05-2024,1,1,267,70.6
AMBCONTROL,OCADO CFC BRISTOL,30-05-2024,1,1,253.8,63.5
AMBIENT,B & M RETAIL LTD,31-05-2024,1,1,130.9,47.5
AMBCONTROL,WAITROSE LTD (134244),31-05-2024,2,10,168.3,347.3
AMBIENT,SUPERDRUG STORES PLC WEBSITE,31-05-2024,1,1,74.3,34.3
AMBCONTROL,BOOTS COMPANY PLC (SSC),31-05-2024,14,101,29.8,1425.2
AMBIENT,BOOTS COMPANY PLC (SSC),31-05-2024,6,13,29.8,269.1
AMBIENT,SAVERS,31-05-2024,1,1,203.7,47.8
AMBCONTROL,SAVERS,31-05-2024,1,1,203.7,53.7
AMBCONTROL,PHOENIX HEALTHCARE (PORTSMOUTH,31-05-2024,1,1,318.6,77.6
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),31-05-2024,1,29,107.4,628.1
AMBCONTROL,HOLLAND & BARRATT RETAIL LTD,31-05-2024,1,3,51,60.5
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,31-05-2024,1,16,222.9,668.9
AMBCONTROL,ALLIANCE HEALTHCARE (HINCKLEY),31-05-2024,1,2,82.5,53.2
AMBCONTROL,OCADO LUTON,31-05-2024,1,1,187.9,51.2
AMBCONTROL,PURFLEET CFC OCADO,31-05-2024,1,1,266.3,63
AMBCONTROL,OCADO BICESTER,31-05-2024,1,1,171.8,51.2
AMBCONTROL,OCADO LTD (CFC ERITH),31-05-2024,1,1,268.2,66.1
AMBCONTROL,OCADO CFC2,31-05-2024,1,1,77.4,40.1
AMBCONTROL,ALLIANCE HEALTHCARE (PRESTON),31-05-2024,1,3,142.1,122.1
AMBCONTROL,PHOENIX HEALTHCARE (E/KILBRIDE,01-06-2024,1,4,440.3,345.1
AMBCONTROL,ALLIANCE HEALTHCARE (NOTTINGHA,02-06-2024,1,5,29.8,90.7
AMBCONTROL,BOOTS COMPANY PLC (SSC),02-06-2024,1,1,29.8,31.4
AMBCONTROL,SAVERS HEALTH & BEAUTY - DUNST,02-06-2024,1,2,185.1,86.2
AMBCONTROL,TESCO GROCERY DIST'N CENTRE (R,02-06-2024,1,14,239.5,666.6
AMBCONTROL,DAY LEWIS MEDICAL LIMITED,02-06-2024,1,17,268.6,852.4
AMBCONTROL,ALLOGA UK LTD - AP 3,03-06-2024,1,18,1.6,280.5
AMBIENT,COSTCO WHOLESALE UK LTD,03-06-2024,1,3,234.4,121.3
AMBCONTROL,BARCLAY PHARMACEUTICALS LTD,03-06-2024,2,5,78.9,134.6
AMBCONTROL,AMAZON DEESIDE XLP1,03-06-2024,2,3,144.3,137.4
AMBCONTROL,SUPERDRUG STORES PLC (DUNSTABL,03-06-2024,1,1,185.1,51.2
AMBCONTROL,SUPERDRUG STORES PLC WEBSITE,03-06-2024,1,7,74.3,161.2
AMBCONTROL,TESCO (BOLTON 510),03-06-2024,1,10,117.8,318.9
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),03-06-2024,2,34,107.4,813.2
AMBCONTROL,SAINSBURY'S SUPERMARKETS LTD (,03-06-2024,1,13,222.9,546.4
AMBIENT,"AMAZON IBA9 (KNOTTINGLEY, UK)",03-06-2024,2,2,89.3,68.7
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,03-06-2024,2,38,133.2,961
AMBCONTROL,ASDA,03-06-2024,2,8,93.7,180.6
AMBIENT,ASDA,03-06-2024,1,4,93.7,82.3
AMBCONTROL,PHOENIX HEALTHCARE DISTRIBUTIO,03-06-2024,1,5,91.3,119.7
AMBCONTROL,SAINSBURYS SUPERMARKET LTD,03-06-2024,1,9,73.6,200.4
AMBCONTROL,ALLIANCE HEALTHCARE (DISTRIBUT,03-06-2024,1,3,262.2,158.2
AMBCONTROL,ALLIANCE HEALTHCARE (COATBRIDG,03-06-2024,1,2,444.3,170.2
AMBCONTROL,PHOENIX HEALTHCARE (BIRMINGHAM,03-06-2024,1,6,90.8,159.8
AMBCONTROL,ALLOGA UK LTD - AP 3,04-06-2024,1,22,1.6,324.4
AMBCONTROL,ALLOGA UK,04-06-2024,3,29,12.2,480.1
AMBCONTROL,T J MORRIS LTD (SOLSTICE BUS.,04-06-2024,1,8,275.3,453.1
AMBCONTROL,SAVERS,04-06-2024,1,3,203.7,128.2
AMBCONTROL,T J MORRIS LTD (AXIS BUS. PARK,04-06-2024,1,16,141.3,579.2
AMBCONTROL,AAH PHARMA (ROMFORD PPP0997Q),04-06-2024,1,2,252.9,109.9
AMBCONTROL,BETH GARSIDE - STAND 14 - PERR,04-06-2024,1,2,102.5,64
AMBCONTROL,TESCO GROCERY DEPT (RUGBY),04-06-2024,3,68,107.4,1536.9
AMBCONTROL,BOOTS COMPANY PLC (SSC),04-06-2024,3,3,29.8,94.2
AMBIENT,BOOTS COMPANY PLC (SSC),04-06-2024,2,2,29.8,59.4
AMBCONTROL,WM MORRISONS SUPERMARKET LIMIT,04-06-2024,2,36,133.2,1047.5
AMBCONTROL,AAH PHARMA (GLASGOW),04-06-2024,1,1,451.8,98.2
AMBCONTROL,ALLIANCE HEALTHCARE (LETCHWORT,04-06-2024,1,3,188,128.8
AMBCONTROL,AAH PHARMA (PERRY BARR),04-06-2024,1,5,97.6,135.9
AMBCONTROL,ALLIANCE HEALTHCARE (EXETER-CO,04-06-2024,1,3,384.3,228
AMBCONTROL,INSPIRA TRADING LIMITED,04-06-2024,1,6,182.1,241.6
